ID,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WL_HOME
39269,0.47,0.286,0.767,7,34,41,19,3,3,13,23.0,-10,0.45,0.474,0.692,8,26,34,22,6,2,5,23.0,10,L
39270,0.447,0.444,0.711,15,31,46,22,14,6,17,26.0,26,0.42,0.273,0.714,7,35,42,22,12,5,29,33.0,-26,W
39271,0.463,0.25,0.821,11,22,33,23,6,3,21,20.0,-20,0.512,0.5,0.85,11,25,36,29,11,1,15,24.0,20,L
39272,0.391,0.125,0.587,17,34,51,9,7,3,11,16.0,10,0.337,0.313,0.688,18,29,47,18,5,2,12,31.0,-10,W
39273,0.477,0.5,0.85,13,30,43,27,5,4,9,24.0,11,0.458,0.5,0.714,9,29,38,29,5,5,9,21.0,-11,W
39274,0.481,0.421,0.714,10,29,39,32,10,6,10,17.0,12,0.45,0.273,1.0,11,32,43,17,9,3,17,19.0,-12,W
39275,0.42,0.214,0.667,11,29,40,22,7,4,20,18.0,-17,0.506,0.222,0.8,8,30,38,26,11,6,14,17.0,17,L
39276,0.385,0.25,0.857,18,25,43,22,8,6,10,18.0,-5,0.5,0.364,0.9,5,31,36,19,5,1,15,19.0,5,L
39277,0.416,0.333,0.833,15,28,43,21,6,7,14,19.0,-3,0.487,0.304,0.824,8,34,42,18,9,7,14,16.0,3,L
39278,0.519,0.333,0.708,10,35,45,20,9,6,17,23.0,19,0.453,0.4,0.542,9,27,36,20,7,4,20,18.0,-19,W
39279,0.451,0.273,0.827,17,44,61,22,10,9,30,27.0,17,0.358,0.208,0.667,22,18,40,20,15,7,19,34.0,-17,W
39280,0.488,0.4,0.813,8,29,37,31,6,7,15,23.0,-4,0.407,0.389,0.889,20,29,49,20,12,5,9,19.0,4,L
39281,0.582,0.4,0.72,15,30,45,39,14,11,13,29.0,44,0.315,0.0,0.667,20,21,41,8,7,8,24,22.0,-44,W
39282,0.481,0.714,0.679,12,33,45,21,9,4,13,26.0,14,0.372,0.412,0.778,14,26,40,14,7,3,14,21.0,-14,W
39283,0.465,0.357,0.571,17,32,49,28,7,4,13,29.0,7,0.45,0.176,0.714,12,33,45,22,8,4,19,24.0,-7,W
39284,0.506,0.417,0.794,10,30,40,21,5,6,14,29.0,7,0.463,0.167,0.833,6,28,34,25,7,3,14,26.0,-7,W
39285,0.493,0.286,0.833,10,24,34,14,11,4,16,30.0,13,0.429,0.25,0.771,9,25,34,19,8,6,21,22.0,-13,W
39286,0.507,0.313,0.5,8,36,44,23,3,4,18,19.0,2,0.386,0.321,0.7,9,28,37,22,11,1,11,23.0,-2,W
39287,0.606,0.75,0.667,3,33,36,27,6,8,14,19.0,8,0.459,0.24,0.692,12,24,36,23,9,1,12,26.0,-8,W
39288,0.493,0.333,0.69,1,41,42,25,10,12,20,25.0,12,0.33,0.111,0.774,12,38,50,8,14,2,18,28.0,-12,W
39289,0.418,0.25,0.786,15,30,45,19,6,4,18,21.0,9,0.366,0.143,0.87,12,28,40,22,11,6,15,22.0,-9,W
39290,0.421,0.286,0.818,14,26,40,18,4,4,18,19.0,-8,0.474,0.5,0.714,10,26,36,21,7,6,16,15.0,8,L
39291,0.512,0.381,0.581,9,29,38,26,7,7,8,17.0,8,0.463,0.438,0.778,7,29,36,19,7,1,10,24.0,-8,W
39292,0.43,0.417,0.667,10,27,37,24,8,8,18,19.0,-10,0.379,0.222,0.789,24,34,58,15,11,7,14,13.0,10,L
