ID,WL_HOME,FG_PCT_HOME,FG3_PCT_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,FG_PCT_AWAY,FG3_PCT_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY
41884,W,0.452,0.538,0.722,14,27,41,21,7,3,12,16.0,15,0.391,0.5,0.7,11,21,32,18,4,8,12,16.0,-15
41885,W,0.438,0.133,0.76,18,38,56,23,5,7,9,21.0,21,0.333,0.125,0.771,14,29,43,10,4,4,15,20.0,-21
41886,W,0.443,0.227,0.818,14,31,45,14,4,3,11,18.0,9,0.443,0.4,0.684,7,29,36,30,8,6,11,26.0,-9
41887,L,0.452,0.444,0.5,14,28,42,30,5,4,13,32.0,-10,0.522,0.333,0.837,7,39,46,27,7,8,13,18.0,10
41888,W,0.446,0.478,0.765,11,29,40,26,9,5,12,21.0,1,0.469,0.182,0.857,16,40,56,18,7,7,14,25.0,-1
41889,W,0.393,0.182,0.783,18,39,57,21,15,2,19,15.0,17,0.314,0.375,0.65,14,34,48,19,11,3,21,25.0,-17
41890,W,0.481,0.545,0.903,11,36,47,15,7,3,13,21.0,7,0.42,0.464,0.645,11,27,38,20,6,2,8,21.0,-7
41891,W,0.42,0.429,0.824,16,22,38,20,9,15,17,25.0,2,0.372,0.538,0.857,19,22,41,17,9,13,22,22.0,-2
41892,W,0.5,0.357,0.75,13,35,48,31,8,3,7,16.0,29,0.397,0.0,0.7,10,29,39,14,3,3,13,16.0,-29
41893,W,0.538,0.667,0.792,11,28,39,25,5,4,14,19.0,3,0.482,0.556,0.737,9,25,34,27,8,1,12,23.0,-3
41894,W,0.382,0.368,0.8,13,35,48,19,11,2,21,24.0,9,0.393,0.19,0.7,15,29,44,17,8,2,19,26.0,-9
41895,W,0.463,0.333,0.808,12,31,43,28,9,8,9,22.0,15,0.387,0.286,0.742,16,26,42,16,4,7,17,27.0,-15
41896,W,0.47,0.538,0.714,14,25,39,24,12,6,9,14.0,7,0.513,0.462,0.824,10,30,40,29,7,2,18,27.0,-7
41897,L,0.42,0.6,0.75,10,30,40,15,5,4,18,16.0,-16,0.459,0.412,0.929,9,30,39,24,9,3,10,25.0,16
41898,W,0.44,0.375,0.87,9,34,43,23,12,7,15,28.0,8,0.373,0.133,0.718,21,36,57,16,9,8,19,20.0,-8
41899,W,0.481,0.3,0.692,11,35,46,24,8,10,18,17.0,24,0.27,0.333,0.625,20,23,43,16,5,7,20,12.0,-24
41900,L,0.446,0.5,0.588,13,29,42,27,6,2,12,33.0,-4,0.472,0.222,0.867,6,42,48,20,6,8,19,32.0,4
41901,W,0.472,0.348,0.542,19,34,53,27,13,5,12,22.0,28,0.411,0.25,0.593,11,29,40,18,6,1,20,19.0,-28
41902,W,0.375,0.25,0.694,16,28,44,12,9,4,11,23.0,7,0.413,0.5,0.667,16,30,46,19,4,4,16,37.0,-7
41903,W,0.353,0.333,0.791,11,36,47,19,9,6,14,19.0,7,0.39,0.438,0.765,10,33,43,22,5,8,15,30.0,-7
41904,L,0.352,0.333,0.792,16,27,43,13,2,1,13,12.0,-30,0.556,0.5,0.8,13,40,53,34,9,9,10,19.0,30
41905,L,0.463,0.154,0.714,11,29,40,19,13,5,14,23.0,-6,0.554,0.429,0.594,5,31,36,22,9,2,18,14.0,6
41906,L,0.349,0.167,0.826,21,35,56,21,7,5,20,28.0,-4,0.391,0.286,0.686,10,29,39,13,13,4,17,24.0,4
41907,W,0.469,0.333,0.813,12,28,40,18,10,3,11,21.0,1,0.5,0.273,0.87,6,30,36,17,7,10,13,14.0,-1
41908,W,0.432,0.286,0.829,8,27,35,17,10,3,9,25.0,9,0.392,0.316,0.824,14,36,50,13,5,2,19,27.0,-9
41909,W,0.512,0.364,0.643,17,28,45,20,5,6,15,18.0,8,0.474,0.75,0.941,10,23,33,23,7,3,18,19.0,-8
41910,W,0.493,0.167,0.758,8,35,43,16,7,6,18,29.0,6,0.398,0.2,0.605,14,26,40,11,8,3,15,25.0,-6
41911,L,0.458,0.273,0.692,14,33,47,22,7,4,19,17.0,-6,0.425,0.455,0.955,9,27,36,25,9,10,11,19.0,6
41912,L,0.41,0.286,0.9,18,31,49,20,14,3,13,36.0,-3,0.505,0.409,0.717,12,31,43,27,9,8,21,35.0,3
41913,W,0.465,0.5,0.833,10,32,42,24,4,9,12,13.0,9,0.425,0.294,0.867,9,24,33,20,7,4,10,22.0,-9
41914,W,0.544,0.6,0.733,17,29,46,23,12,6,13,23.0,17,0.489,0.0,0.656,17,27,44,25,7,2,16,26.0,-17
41915,W,0.443,0.333,0.857,13,39,52,24,10,3,8,18.0,24,0.375,0.294,0.6,10,35,45,17,5,6,17,14.0,-24
41916,W,0.505,0.417,0.794,18,24,42,33,10,9,12,22.0,5,0.5,0.48,0.708,18,22,40,23,7,1,17,28.0,-5
41917,W,0.519,0.571,0.714,8,28,36,30,11,5,14,22.0,19,0.392,0.133,0.848,14,27,41,15,7,8,19,22.0,-19
41918,L,0.453,0.346,0.786,14,16,30,23,17,3,14,15.0,-7,0.608,0.286,0.684,12,32,44,26,10,8,22,17.0,7
41919,L,0.341,0.409,0.78,12,34,46,12,12,3,22,25.0,-4,0.463,0.2,0.8,9,40,49,27,16,5,24,29.0,4
41920,L,0.402,0.25,0.783,20,31,51,15,5,0,19,21.0,-18,0.478,0.563,0.737,13,27,40,22,8,6,14,19.0,18
41921,W,0.563,0.45,0.667,10,36,46,31,8,2,8,20.0,33,0.373,0.429,0.696,11,25,36,18,3,6,12,12.0,-33
41922,W,0.575,0.429,0.739,7,31,38,20,5,12,14,20.0,18,0.443,0.385,0.824,11,23,34,16,8,6,15,19.0,-18
41923,W,0.463,0.467,0.677,12,35,47,23,5,5,19,19.0,7,0.413,0.368,0.833,13,24,37,26,6,2,14,27.0,-7
41924,W,0.481,0.389,0.692,10,24,34,29,18,6,10,22.0,9,0.513,0.2,0.909,9,31,40,23,6,2,22,29.0,-9
41925,L,0.402,0.273,0.75,12,31,43,13,7,3,14,17.0,-7,0.447,0.25,0.714,10,35,45,17,8,6,12,13.0,7
41926,L,0.361,0.345,0.818,22,33,55,21,7,3,12,16.0,-3,0.47,0.611,0.647,10,30,40,21,4,1,9,21.0,3
41927,W,0.524,0.571,0.613,5,32,37,26,8,9,18,25.0,13,0.333,0.208,0.913,11,26,37,19,5,4,16,31.0,-13
41928,L,0.383,0.308,0.8,18,27,45,14,7,5,11,18.0,-6,0.486,0.417,0.75,9,30,39,21,8,7,15,14.0,6
41929,W,0.377,0.556,0.714,18,40,58,17,15,3,21,15.0,8,0.407,0.429,0.813,5,30,35,19,11,6,17,27.0,-8
41930,W,0.542,0.4,0.833,13,32,45,32,9,4,12,27.0,10,0.477,0.4,0.818,16,29,45,25,8,1,15,17.0,-10
41931,W,0.5,0.571,0.7,9,34,43,31,10,7,13,20.0,10,0.482,0.5,0.824,7,34,41,24,9,6,17,22.0,-10
41932,L,0.378,0.375,0.76,16,31,47,15,8,1,14,26.0,-8,0.425,0.333,0.722,9,28,37,15,11,3,12,24.0,8
41933,L,0.447,0.35,0.786,16,19,35,24,9,1,19,21.0,-11,0.557,0.643,0.833,8,25,33,25,10,3,17,13.0,11
41934,W,0.488,0.429,0.727,11,32,43,33,9,4,14,23.0,10,0.494,0.316,0.583,11,33,44,22,7,3,21,22.0,-10
41935,W,0.475,0.462,0.781,10,27,37,23,12,3,12,11.0,18,0.513,0.333,0.692,7,32,39,26,9,3,20,25.0,-18
41936,W,0.438,0.278,0.889,17,29,46,29,9,5,10,18.0,18,0.329,0.222,0.773,19,28,47,15,4,6,18,15.0,-18
41937,W,0.6,0.538,0.85,10,26,36,32,8,5,18,22.0,25,0.4,0.154,0.778,14,14,28,15,11,4,14,25.0,-25
41938,W,0.413,0.471,0.8,16,40,56,31,8,7,9,31.0,4,0.368,0.444,0.837,17,43,60,21,6,5,14,23.0,-4
41939,W,0.526,0.333,0.684,5,35,40,24,13,2,18,24.0,5,0.456,0.538,0.645,9,29,38,23,9,8,22,24.0,-5
41940,L,0.462,0.75,0.857,7,25,32,19,4,3,17,28.0,-13,0.429,0.357,0.784,12,24,36,15,6,5,9,19.0,13
41941,W,0.4,0.5,0.808,9,32,41,20,5,11,11,23.0,8,0.39,0.333,0.667,11,34,45,19,6,6,13,27.0,-8
41942,W,0.39,0.1,0.885,16,36,52,17,7,2,15,18.0,20,0.347,0.091,0.846,9,29,38,15,6,5,14,19.0,-20
41943,W,0.61,0.417,0.824,10,32,42,37,8,6,15,13.0,21,0.446,0.409,0.75,19,22,41,24,5,1,16,19.0,-21
41944,L,0.37,0.364,0.8,23,24,47,17,7,5,10,24.0,-3,0.536,0.333,0.714,7,32,39,23,6,7,14,24.0,3
41945,L,0.375,0.1,0.769,14,28,42,18,5,11,15,21.0,-11,0.425,0.5,0.826,10,29,39,25,6,3,14,24.0,11
41946,L,0.4,0.111,0.75,18,26,44,18,7,6,13,17.0,-13,0.486,0.333,1.0,11,27,38,24,6,0,12,16.0,13
41947,L,0.345,0.2,0.833,13,31,44,21,2,2,13,22.0,-14,0.398,0.292,0.833,12,44,56,25,7,3,15,24.0,14
41948,W,0.386,0.364,0.7,6,34,40,18,7,9,11,21.0,18,0.324,0.176,0.6,12,29,41,12,6,3,21,21.0,-18
41949,W,0.556,0.5,0.71,12,27,39,25,11,6,21,17.0,10,0.532,0.381,0.706,4,21,25,25,18,1,18,25.0,-10
41950,W,0.537,0.474,0.643,10,34,44,36,5,5,13,21.0,17,0.394,0.316,0.844,7,24,31,20,7,4,16,20.0,-17
41951,L,0.413,0.263,0.8,11,31,42,16,4,3,13,17.0,-7,0.455,0.333,0.857,11,33,44,10,8,1,11,14.0,7
41952,L,0.475,0.412,0.733,7,32,39,27,9,1,20,19.0,-5,0.5,0.583,0.8,2,31,33,26,15,4,13,17.0,5
41953,L,0.427,0.167,0.821,7,36,43,17,3,8,16,23.0,-6,0.432,0.467,0.692,5,32,37,24,9,8,10,25.0,6
41954,L,0.453,0.091,0.846,4,21,25,18,6,4,15,24.0,-5,0.487,0.5,0.656,13,27,40,27,8,5,13,29.0,5
41955,W,0.461,0.364,0.667,11,32,43,22,8,4,15,27.0,8,0.359,0.24,0.839,11,31,42,19,10,3,13,22.0,-8
41956,W,0.395,0.538,0.792,19,35,54,17,6,6,12,19.0,8,0.387,0.5,0.63,12,28,40,20,5,4,11,22.0,-8
41957,W,0.372,0.2,0.865,24,32,56,17,5,4,15,24.0,11,0.446,0.4,0.739,5,24,29,23,11,6,16,29.0,-11
41958,L,0.397,0.263,0.591,17,23,40,24,8,5,20,17.0,-11,0.5,0.417,0.909,9,30,39,25,14,9,20,18.0,11
41959,L,0.494,0.429,0.692,11,23,34,29,7,7,11,20.0,-5,0.507,0.375,0.955,9,28,37,21,7,5,12,18.0,5
41960,W,0.529,0.333,0.714,4,29,33,24,10,5,12,21.0,7,0.459,0.25,0.952,8,26,34,11,6,7,16,22.0,-7
41961,W,0.552,0.357,1.0,12,31,43,30,3,9,10,10.0,10,0.495,0.379,0.625,12,23,35,30,6,7,11,11.0,-10
41962,W,0.513,0.6,0.655,13,23,36,30,12,4,13,21.0,21,0.465,0.333,0.731,10,26,36,20,7,7,20,23.0,-21
41963,W,0.542,0.471,0.95,7,28,35,24,13,4,20,21.0,14,0.419,0.348,0.913,12,24,36,13,9,1,24,22.0,-14
41964,L,0.398,0.333,0.789,16,32,48,20,13,7,13,17.0,-1,0.41,0.3,0.765,8,37,45,18,7,13,16,19.0,1
41965,W,0.512,0.462,0.632,11,30,41,33,10,11,15,19.0,16,0.395,0.412,0.682,15,26,41,13,8,3,21,20.0,-16
41966,L,0.419,0.273,0.733,15,31,46,21,11,4,16,23.0,-3,0.494,0.5,0.773,8,35,43,20,10,6,18,24.0,3
41967,W,0.419,0.294,0.86,11,29,40,24,8,5,12,24.0,3,0.455,0.32,0.821,10,30,40,16,3,3,15,29.0,-3
41968,L,0.429,0.471,0.769,9,24,33,18,7,3,11,26.0,-4,0.466,0.154,0.889,11,34,45,18,4,6,15,22.0,4
41969,W,0.4,0.538,0.714,16,33,49,25,11,2,16,18.0,18,0.403,0.333,0.714,10,31,41,17,6,7,19,30.0,-18
41970,L,0.354,0.4,0.75,14,25,39,16,11,2,13,16.0,-23,0.526,0.5,0.923,11,37,48,24,8,10,17,17.0,23
